Step T Etot StepSize Error SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
33 2923.9999740737044 -6.396670932178614e+22 126.11763389271763 0.6530771832463413 0.0006499159872826806 -0.0046906757384177974 8.334643016043308e-05 -3.2482125826059454 4.17433352730052 0.05595179255186605 9.535489291951512 -0.18722557345090518 -0.3747132585968877 4.7551885204956985 -18.92804983639976 -0.13241571549004796 -7.629640446047835 28.946213272110533 -0.4207404594685833 2.9021605018087477 -4.086727428716739 -2.045152866491692 
34 3047.6019522840916 -6.396670862937538e+22 123.60197821038696 0.48932408696749846 0.0013295902651542337 -0.0043279413332756545 6.887693748200878e-05 -3.942457721741676 3.58493590919024 0.07392251508122857 9.48587420154066 0.5002368177527848 -0.3848548703342125 5.221501398535616 -18.826464024136886 -0.13810012748654654 -8.00647175823608 28.847403249783277 -0.41004497359862874 3.3492103518426033 -3.3879836248550967 -2.0292772359304956 
35 3175.9379857093336 -6.396670791949071e+22 128.33603342524182 0.4786055806475333 0.001931890961275569 -0.0038431853475322806 5.5454697045003465e-05 -4.539065334622537 2.8602609111786044 0.0902536203454514 9.38154172115026 1.2111690254314205 -0.3932405154594429 5.702318673489113 -18.708898968313036 -0.14391352267269603 -8.39630704395732 28.73966192198017 -0.3988666844722124 3.6968490730269465 -2.546214477862926 -1.9425332821112087 
36 3309.780957175372 -6.396670722026354e+22 133.8429714660385 0.7032996540736117 0.0024313951571495926 -0.00324461944619857 4.364454452522001e-05 -5.009219030980395 2.0089983146712815 0.10426344511194316 9.2153378395493 1.9451056704188971 -0.3995782821016836 6.199803489809164 -18.57329512548871 -0.14987634419401955 -8.80124432268824 28.6217343324138 -0.38713153126742184 3.893672244144023 -1.5565599269844834 -1.7654993299019268 
37 3420.133176823358 -6.3966706988349265e+22 110.352219647986 0.5385790664470242 0.002735558125852854 -0.002698898728684846 3.585318516010052e-05 -5.270829200781108 1.2549354021943058 0.11320005912174423 9.034421553265124 2.5411603244107925 -0.4029040460396189 6.6066945189243285 -18.451610834380386 -0.1547131162165067 -9.133807048620804 28.5202497556877 -0.37739836700720647 3.8928022850745347 -0.6742813774310598 -1.5452142658098715 
38 3520.5835687735944 -6.396670686625218e+22 100.45039195023622 0.569697648684286 0.0029236073620519634 -0.0021755712036765264 3.0435629840396806e-05 -5.405610283841003 0.543380912295932 0.1191189191370542 8.835573119571098 3.0741802040054576 -0.4044084706431251 6.974328657701226 -18.333156341024033 -0.15905148409549177 -9.43546423778653 28.424541512316875 -0.36849445346522725 3.732778440211889 0.15619345589581624 -1.2814743351801046 
39 3610.57156492022 -6.3966706806264965e+22 89.98799614662592 0.5467347047908601 0.00301863863761313 -0.0016955912710550736 2.7009601706203863e-05 -5.4411844823188265 -0.103061761423345 0.12254761613547849 8.630128382603464 3.5422362932433007 -0.40450702095191365 7.301330918655294 -18.220872056122943 -0.16288453873559702 -9.704812268288014 28.336116634883783 -0.36048308600438994 3.4366029369455227 0.8937404757117435 -0.9926831587180551 
40 3691.275306079106 -6.396670677615281e+22 80.70374115888576 0.5368236134528036 0.0030446026002175753 -0.0012636575432371433 2.5116960880468893e-05 -5.404474659154049 -0.6818172202033553 0.12407954985899954 8.424255321338721 3.95316601569083 -0.40358230207060136 7.59262937928713 -18.11525620121139 -0.1662782178552006 -9.945635187526094 28.254663588755815 -0.3532708813234037 3.03205419284647 1.5190683717607556 -0.693493079920428 
41 3765.0481392901224 -6.396670675915863e+22 73.77283321101643 0.5532115281180608 0.0030197185903846147 -0.0008731401756347097 2.437429208215073e-05 -5.314669634892435 -1.203965209125914 0.12419021302203079 8.218469704360608 4.3205734100042195 -0.4018943899264018 7.857221859248716 -18.014675459378893 -0.16934342517308756 -10.165152063725438 28.1784317215721 -0.34665587272038406 2.5397260904748915 2.029203909124943 -0.3919433033932058 
42 3839.789453121504 -6.396670674253187e+22 74.74131383138153 0.9267812435690523 0.0029480102484860265 -0.0004866876775016681 2.4583052904407084e-05 -5.169890223280549 -1.720772941777952 0.12304609775428693 7.993162643406692 4.683951971475564 -0.3993614251702487 8.123586366468103 -17.908873655381335 -0.17241219149007092 -10.386929171761086 28.099476255316585 -0.3399328288789256 1.9232039535223624 2.4505042908929986 -0.0685720394036779 
43 3894.5745056949313 -6.396670673956853e+22 54.78505257342738 0.5388584604794746 0.002866449634134624 -0.00021206525278248792 2.534471888304489e-05 -5.030197712362848 -2.08875219917008 0.12141040546438432 7.8174632960367 4.944179432192752 -0.39697848210203396 8.317710960574738 -17.828845060939816 -0.17463778650697998 -10.549085655881644 28.040503852034362 -0.3349915591772549 1.4040049820720948 2.676421767605869 0.17160803738558852 
44 3950.371351759249 -6.396670673641591e+22 55.79684606431804 0.6936154310572145 0.0027589148062527806 5.796674980269845e-05 2.6641121943192358e-05 -4.859570604361303 -2.4517457165876086 0.11906057828215819 7.629522694788497 5.203518086988212 -0.3940944743979324 8.514422504199441 -17.745199226006555 -0.1768835209664107 -10.713878459586683 27.97948966091622 -0.3299476516093049 0.8295778142999473 2.8185850945621698 0.41044916451899904 
45 4004.400536092256 -6.3966706733860256e+22 54.02918433300713 0.6145166028095541 0.0026320267817908564 0.0003083669461824586 2.8386783598973678e-05 -4.667936520055705 -2.7899458879740724 0.11613867782217789 7.439048877829554 5.448854724311425 -0.3908633565299881 8.703921079502786 -17.662158141582594 -0.1790377195601177 -10.873100593156042 27.919494328378935 -0.32505275576619286 0.24561769982505055 2.861965675605794 0.6280203461612657 
46 4058.0004628659913 -6.3966706731486355e+22 53.59992677373534 0.8745074637735487 0.0024848790211562588 0.0005443336681170892 3.0582527911895804e-05 -4.4530974219010595 -3.1106916513866834 0.11262526956446628 7.242007453928114 5.686322379544347 -0.38723318895170467 8.890940077440039 -17.57780036092631 -0.18115476075814088 -11.030712403275441 27.85908900543546 -0.320186426482096 -0.3418451806890328 2.809413366173813 0.8228940514240343 
47 4107.551642933684 -6.396670672996546e+22 49.551180067692954 0.49263032744475327 0.0023308303164224237 0.000750068648155173 3.301036110572499e-05 -4.233490541561911 -3.3926029862545697 0.10884688113833807 7.0528450342434486 5.900360518336005 -0.3835027167767745 9.062952249395742 -17.49807380920824 -0.18309394632522366 -11.176108529461203 27.802462674570986 -0.31567867121280224 -0.8753058718126291 2.6781347103113253 0.9790014310516879 
