Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
340 6120 -4.989267003070261e+22 0.0017651495425773662 0.0029568731196905093 -2.9373945869713745e-06 -0.5937580607494823 -6.835503775181041 0.04120069617209085 -2.8330852105907693 9.288128725869237 -0.051183154464074024 15.206366084039141 -13.032457088015724 -0.24630988135076617 -16.794840294219036 24.906765877330262 -0.12690884688309678 5.678147158000841 -4.877455927841728 -3.2211597290284195 
350 6300 -4.962607250742495e+22 0.0009163348093553436 0.002963433112211022 9.726043383507419e-06 0.5966655614656253 -6.7648871496218606 0.014207891618497507 -3.803463023683702 8.987892419468292 -0.00741447989072332 15.655683726823783 -12.522126167715092 -0.2502477575803773 -17.264377734736197 24.59069039474967 -0.10960817925213763 5.868329233178422 -3.8591761884271767 -3.0350496516323986 
360 6480 -4.934744161042659e+22 7.108947799839202e-05 0.0027996069773457404 2.282645457414455e-05 1.7724086201093037 -6.4880759066103675 -0.013295346686863286 -4.735558114091522 8.594482803955888 0.03647734882848502 16.086397749170146 -11.996819559556993 -0.25388780447195547 -17.72782106936796 24.26590136811559 -0.092268096685521 5.935024361613534 -2.7581824797874503 -2.7846526361536386 
370 6660 -4.9057147270549396e+22 -0.0007374828998267128 0.002465746067671135 3.568520168234296e-05 2.8961384270153774 -6.00703007172441 -0.040463725710877224 -5.620476530073426 8.113296573452685 0.08004439559899151 16.498047066896955 -11.457202954237474 -0.2572265198700713 -18.185009711116354 23.93251795918086 -0.07489474000435449 5.846363806176132 -1.5832927912849335 -2.460878582330908 
380 6840 -4.8756404716415736e+22 -0.0014757358836204122 0.001969160529729403 4.758229404793619e-05 3.9301988852805145 -5.331248051162336 -0.06641400463446862 -6.4501467864064255 7.550559032380275 0.12285673696453112 16.890193355359354 -10.903952846413423 -0.26026074885868933 -18.635785575129884 23.59066232454734 -0.05749425535121353 5.56088749392504 -0.3530911356503784 -2.0536788586413857 
390 7020 -4.8447373981908505e+22 -0.0021112395146077136 0.0013245661349626603 5.7793173351105105e-05 4.838473638971113 -4.478194393145165 -0.09026503828790387 -7.217386350281932 6.913189161455237 0.16450748454044006 17.26242151556832 -10.337755881542158 -0.2629876886663983 -19.07999312742395 23.240459584634372 -0.04007279266270908 5.025986585405553 0.8954964525648889 -1.5536412264978319 
400 7200 -4.813314568565552e+22 -0.0026147864399041166 0.0005539657371957066 6.563344540045237e-05 5.588500751124935 -3.473134816786573 -0.11118587542309555 -7.9159447907422 6.208663372622018 0.204616905012124 17.61434020424606 -9.759308381635666 -0.2654048919041096 -19.51747942657156 22.88203778674929 -0.022636504070202932 4.180961449107273 2.0924355727963935 -0.9567623366243091 
410 7380 -4.781757659800926e+22 -0.002962413849568717 -0.00031415999863149764 7.050689693790336e-05 6.153597454932653 -2.348248395331048 -0.1284470264394615 -8.540525229576279 5.444882027922081 0.24283563037461137 17.945582279352898 -9.169316066236565 -0.2675102653505131 -19.94809415900726 22.515527860908854 -0.00519154215820905 2.975568250085224 3.11529397050045 -0.27581653905643977 
420 7560 -4.750497476736762e+22 -0.003137146821926735 -0.0012463624794809133 7.195023692697775e-05 6.5146872262827795 -1.141007548980088 -0.1414680364774818 -9.086786371662722 4.630042079112647 0.27884698912967915 18.25580497811705 -8.568493873377239 -0.26930206285475383 -20.37168966916912 22.141063567822275 0.012255941966812182 1.4205498841229007 3.787272516116047 0.44130303255275416 
430 7740 -4.719968189006157e+22 -0.0031301740831106806 -0.002206298166601776 6.966751790940394e-05 6.661527212257305 0.10802930200286084 -0.14985400165516594 -9.551327801498124 3.7725184094147064 0.3123685190867227 18.54468974425773 -7.957565694324364 -0.2707788740980984 -20.788120986012096 21.758781439301256 0.02969980081097346 -0.34850124464986687 3.945473817694959 1.106048408520031 
