            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2416240.500000000, A.D. 1903-May-06 00:00:00.0000,  4.623059447726775E+00, -1.871239888864480E+00, -9.605559276118680E-02,
2416250.500000000, A.D. 1903-May-16 00:00:00.0000,  4.649945517943386E+00, -1.797540181013341E+00, -9.695798235292936E-02,
2416260.500000000, A.D. 1903-May-26 00:00:00.0000,  4.675721296121700E+00, -1.723410631675611E+00, -9.783725849733226E-02,
2416270.500000000, A.D. 1903-Jun-05 00:00:00.0000,  4.700386105541686E+00, -1.648872397943487E+00, -9.869325620000302E-02,
2416280.500000000, A.D. 1903-Jun-15 00:00:00.0000,  4.723926968381339E+00, -1.573939464680117E+00, -9.952567112536390E-02,
2416290.500000000, A.D. 1903-Jun-25 00:00:00.0000,  4.746339539089582E+00, -1.498629849825136E+00, -1.003342923129048E-01,
2416300.500000000, A.D. 1903-Jul-05 00:00:00.0000,  4.767619104784799E+00, -1.422963714760729E+00, -1.011189453777069E-01,
2416310.500000000, A.D. 1903-Jul-15 00:00:00.0000,  4.787753536264359E+00, -1.346954091006272E+00, -1.018793256134779E-01,
2416320.500000000, A.D. 1903-Jul-25 00:00:00.0000,  4.806744231607369E+00, -1.270623923160831E+00, -1.026153259235464E-01,
2416330.500000000, A.D. 1903-Aug-04 00:00:00.0000,  4.824578792284790E+00, -1.193988007137188E+00, -1.033266900832359E-01,
2416340.500000000, A.D. 1903-Aug-14 00:00:00.0000,  4.841254473355079E+00, -1.117063932002283E+00, -1.040131976254713E-01,
2416350.500000000, A.D. 1903-Aug-24 00:00:00.0000,  4.856768757141196E+00, -1.039873503619649E+00, -1.046747297955240E-01,
2416360.500000000, A.D. 1903-Sep-03 00:00:00.0000,  4.871110126136736E+00, -9.624300496156359E-01, -1.053110157437509E-01,
2416370.500000000, A.D. 1903-Sep-13 00:00:00.0000,  4.884281902700573E+00, -8.847565811849138E-01, -1.059219553223074E-01,
2416380.500000000, A.D. 1903-Sep-23 00:00:00.0000,  4.896273806965496E+00, -8.068693135390319E-01, -1.065073467621778E-01,
2416390.500000000, A.D. 1903-Oct-03 00:00:00.0000,  4.907083355839902E+00, -7.287860444824752E-01, -1.070670118618349E-01,
2416400.500000000, A.D. 1903-Oct-13 00:00:00.0000,  4.916710422368381E+00, -6.505285060766557E-01, -1.076008319463478E-01,
2416410.500000000, A.D. 1903-Oct-23 00:00:00.0000,  4.925145380858558E+00, -5.721111970949896E-01, -1.081085901085333E-01,
2416420.500000000, A.D. 1903-Nov-02 00:00:00.0000,  4.932392003908252E+00, -4.935573806786698E-01, -1.085902304232854E-01,
2416430.500000000, A.D. 1903-Nov-12 00:00:00.0000,  4.938442818201290E+00, -4.148831055883802E-01, -1.090455466012741E-01,
2416440.500000000, A.D. 1903-Nov-22 00:00:00.0000,  4.943296541059566E+00, -3.361075776448161E-01, -1.094744390625627E-01,
2416450.500000000, A.D. 1903-Dec-02 00:00:00.0000,  4.946953846045163E+00, -2.572522655497924E-01, -1.098768152191398E-01,
2416460.500000000, A.D. 1903-Dec-12 00:00:00.0000,  4.949408003558106E+00, -1.783313970877150E-01, -1.102524537986714E-01,
2416470.500000000, A.D. 1903-Dec-22 00:00:00.0000,  4.950663777565043E+00, -9.936979596241448E-02, -1.106013892306354E-01,
2416480.500000000, A.D. 1904-Jan-01 00:00:00.0000,  4.950715065088738E+00, -2.038273244813942E-02, -1.109234186813366E-01,
2416490.500000000, A.D. 1904-Jan-11 00:00:00.0000,  4.949563103724185E+00,  5.861028884844640E-02, -1.112184691974903E-01,
2416500.500000000, A.D. 1904-Jan-21 00:00:00.0000,  4.947209440420520E+00,  1.375866021680786E-01, -1.114865328992814E-01,
2416510.500000000, A.D. 1904-Jan-31 00:00:00.0000,  4.943648917634375E+00,  2.165332770626542E-01, -1.117273759777326E-01,
2416520.500000000, A.D. 1904-Feb-10 00:00:00.0000,  4.938888772322002E+00,  2.954247457122137E-01, -1.119410792774064E-01,
2416530.500000000, A.D. 1904-Feb-20 00:00:00.0000,  4.932923989948902E+00,  3.742451255647496E-01, -1.121275043555917E-01,
2416540.500000000, A.D. 1904-Mar-01 00:00:00.0000,  4.925757317799002E+00,  4.529759534172957E-01, -1.122865798701076E-01,
2416550.500000000, A.D. 1904-Mar-11 00:00:00.0000,  4.917392745143749E+00,  5.315936835029744E-01, -1.124183547218770E-01,
2416560.500000000, A.D. 1904-Mar-21 00:00:00.0000,  4.907825942084325E+00,  6.100854296028358E-01, -1.125226456481341E-01,
2416570.500000000, A.D. 1904-Mar-31 00:00:00.0000,  4.897065875220278E+00,  6.884265183711414E-01, -1.125995404407083E-01,
2416580.500000000, A.D. 1904-Apr-10 00:00:00.0000,  4.885110220419949E+00,  7.666004000764386E-01, -1.126489494566962E-01,
2416590.500000000, A.D. 1904-Apr-20 00:00:00.0000,  4.871962194298574E+00,  8.445886703567710E-01, -1.126708599024733E-01,
2416600.500000000, A.D. 1904-Apr-30 00:00:00.0000,  4.857627899858253E+00,  9.223685968746257E-01, -1.126653290029020E-01,
2416610.500000000, A.D. 1904-May-10 00:00:00.0000,  4.842105275649559E+00,  9.999268328378612E-01, -1.126322266143301E-01,
2416620.500000000, A.D. 1904-May-20 00:00:00.0000,  4.825403607498520E+00,  1.077238974760900E+00, -1.125716974326759E-01,
2416630.500000000, A.D. 1904-May-30 00:00:00.0000,  4.807523359297069E+00,  1.154289582199309E+00, -1.124836426791952E-01,
2416640.500000000, A.D. 1904-Jun-09 00:00:00.0000,  4.788469479534092E+00,  1.231059499474732E+00, -1.123681232815597E-01,
2416650.500000000, A.D. 1904-Jun-19 00:00:00.0000,  4.768248643775016E+00,  1.307526507622718E+00, -1.122252441917560E-01,
2416660.500000000, A.D. 1904-Jun-29 00:00:00.0000,  4.746861561824254E+00,  1.383678427681477E+00, -1.120548689826738E-01,
2416670.500000000, A.D. 1904-Jul-09 00:00:00.0000,  4.724318686878634E+00,  1.459490017497239E+00, -1.118572311695721E-01,
2416680.500000000, A.D. 1904-Jul-19 00:00:00.0000,  4.700621634018812E+00,  1.534947104643017E+00, -1.116322474984542E-01,
2416690.500000000, A.D. 1904-Jul-29 00:00:00.0000,  4.675777985292405E+00,  1.610031300238490E+00, -1.113799904195847E-01,
2416700.500000000, A.D. 1904-Aug-08 00:00:00.0000,  4.649795513716879E+00,  1.684719559593140E+00, -1.111006564783537E-01,
2416710.500000000, A.D. 1904-Aug-18 00:00:00.0000,  4.622676139864246E+00,  1.759001385520907E+00, -1.107941129298221E-01,
2416720.500000000, A.D. 1904-Aug-28 00:00:00.0000,  4.594432611687390E+00,  1.832851890513309E+00, -1.104606277040175E-01,
2416730.500000000, A.D. 1904-Sep-07 00:00:00.0000,  4.565067747900632E+00,  1.906256748515968E+00, -1.101001870302642E-01,
2416740.500000000, A.D. 1904-Sep-17 00:00:00.0000,  4.534590353038951E+00,  1.979199335248368E+00, -1.097128650839297E-01,
2416750.500000000, A.D. 1904-Sep-27 00:00:00.0000,  4.503010701744605E+00,  2.051656617979721E+00, -1.092989031571485E-01,
2416760.500000000, A.D. 1904-Oct-07 00:00:00.0000,  4.470331611262235E+00,  2.123618328323592E+00, -1.088582315062436E-01,
2416770.500000000, A.D. 1904-Oct-17 00:00:00.0000,  4.436566912679101E+00,  2.195061205511209E+00, -1.083911293895035E-01,
2416780.500000000, A.D. 1904-Oct-27 00:00:00.0000,  4.401722091589063E+00,  2.265971173513351E+00, -1.078976201043330E-01,
2416790.500000000, A.D. 1904-Nov-06 00:00:00.0000,  4.365806412312430E+00,  2.336332134545348E+00, -1.073778377424817E-01,
